level2_category,percent_agreement,cohens_kappa,n_conversations,prevalence_a,prevalence_b
Authentic moral identity,0.9746835443037974,0.24442082890541558,237,0.029535864978902954,0.004219409282700422
Protecting human rights and dignity,0.8987341772151899,0.3364442370508626,237,0.1308016877637131,0.029535864978902954
Ethical interaction,0.8649789029535865,0.3386815486571328,237,0.08016877637130802,0.14767932489451477
Emotional depth and authentic connection,0.9578059071729957,0.3563280825638234,237,0.046413502109704644,0.02109704641350211
Protecting vulnerable entities,0.9493670886075949,0.38334778837814326,237,0.06751054852320675,0.016877637130801686
Well-functioning social systems and organizations,0.9578059071729957,0.42279590842669196,237,0.04219409282700422,0.03375527426160337
Knowledge development,0.8776371308016878,0.4569803270917285,237,0.1518987341772152,0.10548523206751055
Methodical rigor,0.8818565400843882,0.49008759797141527,237,0.17721518987341772,0.08438818565400844
Community and relationship bonds,0.9620253164556962,0.5070487635775373,237,0.046413502109704644,0.03375527426160337
Pleasure and enjoyment,0.9789029535864979,0.5347467608951711,237,0.02109704641350211,0.02531645569620253
Efficiency and resource optimization,0.9282700421940928,0.5461304494761742,237,0.08438818565400844,0.08860759493670886
Professional and technical excellence,0.890295358649789,0.5567544238239102,237,0.1729957805907173,0.11392405063291139
Critical thinking,0.9831223628691983,0.5917312661498714,237,0.016877637130801686,0.02531645569620253
Personal growth and wellbeing,0.919831223628692,0.5978387067964629,237,0.1308016877637131,0.09282700421940929
Security and stability,0.9535864978902954,0.5984906822732177,237,0.04219409282700422,0.08016877637130802
Clarity and precision,0.9029535864978903,0.6102252413299963,237,0.1350210970464135,0.15611814345991562
Intellectual integrity and objectivity,0.8396624472573839,0.6187452374904748,237,0.27848101265822783,0.3206751054852321
Business effectiveness,0.9620253164556962,0.619989310529129,237,0.05063291139240506,0.05485232067510549
Social equity and justice,0.9704641350210971,0.6512507883119621,237,0.046413502109704644,0.04219409282700422
Artistic expression and appreciation,0.9915611814345991,0.6628733997155043,237,0.016877637130801686,0.008438818565400843
Compliance and accountability,0.9493670886075949,0.6871287128712867,237,0.0759493670886076,0.10126582278481013
Ethical responsibility,0.9240506329113924,0.7055900621118013,237,0.16455696202531644,0.13924050632911392
Protection of people and environment,0.919831223628692,0.7116234390009607,237,0.15611814345991562,0.17721518987341772
Professional advancement,0.9957805907172996,0.7979539641943746,237,0.012658227848101266,0.008438818565400843
Cultural respect and tradition,1.0,1.0,237,0.016877637130801686,0.016877637130801686
Spiritual fulfillment and meaning,1.0,1.0,237,0.004219409282700422,0.004219409282700422
