category,prop_a,prop_b,diff,ci_lower,ci_upper,p_value,p_adjusted,significant
Artistic expression and appreciation,0.01745771958537916,0.019005030743432086,-0.0015473111580529275,-0.01026402473535506,0.007169402419249205,0.727776270476272,1.0,False
Social equity and justice,0.024549918166939442,0.026830631637786474,-0.0022807134708470317,-0.012588644530843972,0.008027217589149909,0.6643796333189111,1.0,False
Security and stability,0.03000545553737043,0.03130240357741755,-0.001296948040047121,-0.012526679630229909,0.009932783550135667,0.8208782151787872,1.0,False
Protection of people and environment,0.07310420076377523,0.06316377864728899,0.009940422116486242,-0.006462890148090653,0.026343734381063137,0.23541159038412918,1.0,False
Protecting vulnerable entities,0.010365521003818877,0.0072666294019005035,0.003098891601918373,-0.002982891181006692,0.009180674384843438,0.3190434882352542,1.0,False
Protecting human rights and dignity,0.03436988543371522,0.03577417551704863,-0.001404290083333412,-0.013388558749597693,0.010579978582930869,0.8183121492368088,1.0,False
Professional and technical excellence,0.0430987452264048,0.0368921185019564,0.006206626724448397,-0.006549739944643893,0.018962993393540687,0.3407712874876636,1.0,False
Professional advancement,0.004909983633387889,0.0016769144773616546,0.0032330691560262343,-0.0004863637877437028,0.0069525020997961715,0.09047443570113911,1.0,False
Pleasure and enjoyment,0.019639934533551555,0.019005030743432086,0.000634903790119469,-0.00833085064697419,0.009600658227213128,0.8896350678370559,1.0,False
Personal growth and wellbeing,0.041462084015275506,0.049189491335941866,-0.00772740732066636,-0.021281654933428942,0.005826840292096224,0.2634370318509993,1.0,False
Methodical rigor,0.0447354064375341,0.03409726103968697,0.010638145397847125,-0.002021962589140662,0.023298253384834912,0.10023133484703628,1.0,False
Knowledge development,0.02618657937806874,0.022358859698155393,0.003827719679913348,-0.0061912444560503176,0.013846683815877014,0.45443465882914613,1.0,False
Intellectual integrity and objectivity,0.10474631751227496,0.1257685858021241,-0.02102226828984914,-0.04182176525560309,-0.00022277132409518827,0.047502481926463336,1.0,False
Ethical responsibility,0.10638297872340426,0.11738401341531582,-0.011001034691911563,-0.0315363379597995,0.009534268575976373,0.29354935717013486,1.0,False
Ethical interaction,0.1303873431533006,0.11011738401341531,0.020269959139885302,-0.0008970076901568327,0.041436925969927436,0.06088417497943155,1.0,False
Emotional depth and authentic connection,0.01309328968903437,0.0184460592509782,-0.00535276956194383,-0.013474259102445969,0.0027687199785583084,0.19562662005581055,1.0,False
Efficiency and resource optimization,0.028368794326241134,0.027948574622694244,0.00042021970354689034,-0.010354855429225842,0.011195294836319623,0.9390767563579883,1.0,False
Cultural respect and tradition,0.009819967266775777,0.008384572386808273,0.0014353948799675047,-0.004747709621724716,0.0076184993816597255,0.6494279990654914,1.0,False
Critical thinking,0.019094380796508457,0.0184460592509782,0.0006483215455302567,-0.008190818695909671,0.009487461786970184,0.8857161668152229,1.0,False
Compliance and accountability,0.06328423349699945,0.05254332029066518,0.010740913206334274,-0.004462025289141296,0.025943851701809843,0.1666985597016879,1.0,False
Community and relationship bonds,0.03436988543371522,0.040804918949133594,-0.006435033515418374,-0.018828491705390745,0.005958424674553996,0.30842117426669047,1.0,False
Clarity and precision,0.0856519367157665,0.09167132476243711,-0.006019388046670612,-0.0245376438790919,0.012498867785750677,0.5239354043186135,1.0,False
Business effectiveness,0.020185488270594652,0.0184460592509782,0.0017394290196164515,-0.007223117423608675,0.010701975462841578,0.7038166306734326,1.0,False
Authentic moral identity,0.004909983633387889,0.006148686416992733,-0.0012387027836048446,-0.0060720373531121035,0.0035946317859024144,0.6149863373666746,1.0,False
Spiritual fulfillment and meaning,0.00436442989634479,0.005589714924538848,-0.0012252850281940586,-0.00581246568259902,0.0033618956262109027,0.6000789208982462,1.0,False
Well-functioning social systems and organizations,0.005455537370430988,0.011738401341531582,-0.006282863971100594,-0.012306194772540476,-0.000259533169660711,0.04014561626603563,1.0,False
